,AAA,AA+,AA,AA-,A+,A,A-,BBB+,BBB,BBB-,BB+,BB,BB-,B+,B,B-,CCC+,CCC,CCC-,CC,Default
AAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA-,0.0,4.02,4.37,-15.3,8.24,-1.36,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A+,0.0,0.18,2.31,2.08,0.38,-1.27,-1.44,-1.17,-1.18,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.15,-0.33,4.72,1.07,-3.83,-2.32,0.27,0.2,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A-,0.0,0.0,0.02,0.03,-0.27,3.19,0.16,-3.06,0.13,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBB+,0.0,0.0,0.0,0.0,-0.16,0.75,5.79,-6.14,0.21,0.06,0.02,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26
BBB,0.0,0.0,0.0,0.0,0.01,-0.62,0.5,-1.85,-0.61,4.36,-0.55,-0.34,0.01,-0.68,0.0,0.0,0.0,0.0,-0.24,0.0,0.0
BBB-,0.0,0.0,0.0,0.0,0.0,0.0,-0.68,0.43,0.81,2.1,0.63,-0.31,-1.21,-0.36,-0.25,0.02,0.01,0.0,-0.3,0.0,-0.92
BB+,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.65,0.51,-4.54,2.88,1.28,1.77,-1.28,0.19,0.09,-0.75,-0.34,0.25,0.0,0.59
BB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.96,-0.26,-3.03,3.48,3.6,1.57,-2.49,0.32,-0.79,-0.37,0.08,-0.45,-0.7
BB-,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.71,-0.46,0.57,-1.52,-1.53,1.79,4.02,0.51,0.76,0.06,-0.42,0.06,0.01,-3.14
B+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,-1.27,-0.68,-0.6,-0.37,-0.49,2.76,-0.78,-0.04,0.37,0.18,0.01,0.77
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-0.19,-0.63,-1.89,-0.69,-1.28,7.54,0.98,0.58,-0.56,-0.02,0.01,-3.63
B-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.04,-0.71,1.96,0.61,-1.24,3.32,-0.21,0.41,0.04,-4.21
CCC+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,0.01,-0.67,-1.13,-0.66,-2.12,-5.1,6.93,3.55,0.42,0.11,-0.64
CCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.16,0.99,1.64,13.16,1.42,1.66,0.76,0.05,-19.87
CCC-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.72,-0.83,2.4,0.92,0.24,0.14,0.01,-3.77
CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,1.46,0.54,0.24,0.18,-16.54,0.03,13.97
Default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
