,AAA,AA+,AA,AA-,A+,A,A-,BBB+,BBB,BBB-,BB+,BB,BB-,B+,B,B-,CCC+,CCC,CCC-,CC,Default
AAA,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA+,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA-,0.0,2.7,2.7,75.68,16.22,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A+,0.0,0.0,1.18,3.53,77.66,12.94,2.35,1.18,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.62,6.21,68.33,20.5,3.1,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A-,0.0,0.0,0.0,0.0,1.83,10.66,73.17,12.86,1.11,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBB+,0.0,0.0,0.0,0.0,0.26,0.51,13.43,75.45,8.79,1.03,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
BBB,0.0,0.0,0.0,0.0,0.0,0.72,1.91,16.9,69.52,8.57,0.95,0.48,0.0,0.72,0.0,0.0,0.0,0.0,0.24,0.0,0.0
BBB-,0.0,0.0,0.0,0.0,0.0,0.0,0.94,2.18,25.15,59.91,5.28,2.48,1.56,0.94,0.32,0.0,0.0,0.0,0.32,0.0,0.94
BB+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,1.93,22.01,59.07,11.2,1.55,2.32,0.0,0.0,0.77,0.38,0.0,0.0,0.0
BB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,4.08,26.69,48.42,11.77,1.36,3.16,0.45,0.9,0.45,0.0,0.45,0.9
BB-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,1.16,0.0,6.93,26.92,43.46,9.61,4.61,0.77,0.39,0.77,0.0,0.0,4.61
B+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,2.52,6.12,21.93,40.29,15.83,5.76,2.52,0.36,0.0,0.0,3.23
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.81,2.63,3.64,12.73,50.71,17.17,3.43,1.21,0.4,0.0,6.87
B-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,1.93,2.9,16.95,44.81,9.45,2.67,0.72,0.0,20.34
CCC+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,1.4,2.09,4.9,21.68,16.78,0.7,1.4,0.0,49.65
CCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,2.22,6.66,0.0,0.0,0.0,88.9
CCC-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,94.12
CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,83.33
Default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
