,predicted_1y_cubed,actual_3y,abs_diff
AAA,100.0,100.0,0.0
AA+,100.0,100.0,0.0
AA,100.0,100.0,0.0
AA-,60.38,75.68,15.300000000000004
A+,78.04,77.66,0.38000000000000966
A,69.4,68.33,1.0700000000000074
A-,73.33,73.17,0.1599999999999966
BBB+,69.31,75.45,6.140000000000001
BBB,68.91,69.52,0.6099999999999994
BBB-,62.01,59.91,2.1000000000000014
BB+,61.95,59.07,2.8800000000000026
BB,51.9,48.42,3.479999999999997
BB-,45.25,43.46,1.7899999999999991
B+,39.8,40.29,0.490000000000002
B,58.25,50.71,7.539999999999999
B-,43.57,44.81,1.240000000000002
CCC+,23.71,16.78,6.93
CCC,1.66,0.0,1.66
CCC-,0.14,0.0,0.14
CC,0.03,0.0,0.03
Default,100.0,100.0,0.0
