,AAA,AA+,AA,AA-,A+,A,A-,BBB+,BBB,BBB-,BB+,BB,BB-,B+,B,B-,CCC+,CCC,CCC-,CC,Default
AAA,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA+,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA-,0.0,6.72,7.07,60.38,24.46,1.34,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A+,0.0,0.18,3.49,5.61,78.04,11.67,0.91,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.15,0.29,10.93,69.4,16.67,0.78,0.27,1.44,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A-,0.0,0.0,0.02,0.03,1.56,13.85,73.33,9.8,1.24,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBB+,0.0,0.0,0.0,0.0,0.1,1.26,19.22,69.31,9.0,1.09,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBB,0.0,0.0,0.0,0.0,0.01,0.1,2.41,15.05,68.91,12.93,0.4,0.14,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBB-,0.0,0.0,0.0,0.0,0.0,0.0,0.26,2.61,25.96,62.01,5.91,2.17,0.35,0.58,0.07,0.02,0.01,0.0,0.02,0.0,0.02
BB+,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.12,2.44,17.47,61.95,12.48,3.32,1.04,0.19,0.09,0.02,0.04,0.25,0.0,0.59
BB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.4,3.82,23.66,51.9,15.37,2.93,0.67,0.77,0.11,0.08,0.08,0.0,0.2
BB-,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.7,0.57,5.41,25.39,45.25,13.63,5.12,1.53,0.45,0.35,0.06,0.01,1.47
B+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.17,1.84,5.52,21.56,39.8,18.59,4.98,2.48,0.73,0.18,0.01,4.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.18,0.74,2.95,11.45,58.25,18.15,4.01,0.65,0.38,0.01,3.24
B-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.2,1.22,4.86,17.56,43.57,12.77,2.46,1.13,0.04,16.13
CCC+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.27,1.43,2.78,16.58,23.71,4.25,1.82,0.11,49.01
CCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.16,0.99,3.86,15.38,8.08,1.66,0.76,0.05,69.03
CCC-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.72,5.05,2.4,0.92,0.24,0.14,0.01,90.35
CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,1.46,0.54,0.24,0.18,0.13,0.03,97.3
Default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
